Year, Province ,Suicide,Divorce,Addiction,Alcoholism,Depression,Pauper,Schizophrenia,Anxietie
2559,Bueng Kan ,0.083220193,1.393343811,0.38756833,0.349524813,3.559446562,26.6,11.2323484,3.378739856
2559,Buriram ,0.070042814,1.18315565,1.059476446,1.166749225,4.862611966,304.3,6.627564687,4.575499528
2559,Pathum Thani ,0.027371014,2.776333196,0.543770813,0.312941928,4.752520414,1.6,7.516080471,3.352949227
2559,Prachuap Khiri Khan ,0.076007046,1.983783897,1.485937746,0.815175567,3.209397511,49.8,9.850513143,3.807952997
2559,Prachinburi ,0.06833897,2.667290691,0.2526471,0.544640879,3.990581647,65.7,8.596214021,9.265107572
2559,Pattani ,0.008619847,0.433865657,2.070200038,0.255722142,3.610279455,225.7,7.526563497,9.21174368
2559,Phra Nakhon Si Ayutthaya ,0.047052647,2.570560397,0.528723165,0.229072097,4.037860046,29.2,6.85235127,6.033882859
2559,Phayao ,0.09188048,1.837609604,0.549194688,0.998156126,6.26040181,48.9,8.367388276,7.784782504
2559,Phang Nga ,0.045859464,1.799983949,1.440751484,0.867508188,4.509513928,13.7,8.526038621,6.294211389
2559,Phatthalung ,0.08223181,1.57196622,1.388378924,0.937060155,5.159567958,71.1,8.571231871,10.05522918
2559,Phichit ,0.036752343,1.427828506,0.619276971,0.825090089,4.476435317,9.6,10.53322136,6.231359671
2559,Phitsanulok ,0.06255075,2.069966489,0.18765225,0.227036056,4.407511187,35.4,7.437747524,5.071244146
2559,Phetchaburi ,0.05881488,1.87367404,0.569244019,0.281471212,3.837670931,24.5,13.13252253,4.054025668
2559,Phetchabun ,0.097571574,1.543039123,0.494899119,0.895244341,3.641330917,32,5.870388737,5.99914298
2559,Phrae ,0.108752344,1.562482661,0.119849522,0.144263314,3.779698823,43.8,9.863171795,9.503623229
2559,Phuket ,0.052418594,2.825362212,0.707651018,0.471767345,1.706225232,2.8,5.883987168,4.431992116
2559,Maha Sarakham ,0.035285925,1.251612515,3.39056226,2.399442898,3.405091759,121.6,5.667542242,5.245148964
2559,Mukdahan ,0.0489747,1.365529877,0.36010809,0.282324743,7.585316809,69.8,12.90915481,11.97287378
2559,Mae Hong Son ,0.112460639,1.094328523,0.164365549,0.730994152,9.827329665,78.4,17.02913596,10.82649919
2559,Yasothon ,0.042612952,1.19872087,0.313112561,0.453920577,3.13853656,80.6,8.326200296,8.787531821
2559,Yala ,0.021200365,0.695757422,0.140693329,0.042400729,2.459242299,94.7,7.911590625,6.57211304
2559,Roi Et ,0.046664698,1.252296898,1.309671526,0.996023556,3.592416757,56.3,9.588447963,9.358949448
2559,Ranong ,0.057103374,1.50752908,1.28482592,0.702371503,6.275660829,42.4,13.76191319,11.55772295
2559,Rayong ,0.075398051,4.587681408,0.668432721,0.410339393,2.33153973,19.3,6.616178972,8.098040666
2559,Ratchaburi ,0.049697967,1.664881879,0.43071571,0.349069051,1.755994817,72.5,5.459676608,4.548547222
2559,Lopburi ,0.095114798,1.94324817,0.55879944,0.582578139,3.58529948,81.7,7.539168802,4.627599144
2559,Lampang ,0.132350641,1.840877097,0.147056268,0.216573776,5.010608104,96.5,6.311387636,10.92360694
2559,Lamphun ,0.118783655,2.526627336,2.41031834,2.558797909,10.99738676,18.4,12.79151489,8.225768134
2559,Loei ,0.088141644,1.599141249,2.738686784,3.034590873,5.197209058,21.6,11.3151835,12.42954571
2559,Sisaket ,0.061966053,0.893400683,1.756158813,3.002289339,3.465332376,112,7.075025229,13.53651843
2559,Sakon Nakhon ,0.061214817,1.282013163,0.562301817,0.825525529,5.310822605,126.8,7.313421611,7.7847757
2559,Songkhla ,0.046938774,1.635745157,3.297093281,1.117285061,4.243691891,126.6,6.665305916,8.705009007
2559,Satun ,0.031611557,0.942024404,1.084276411,0.142252007,2.832395524,16.3,14.75627489,6.477208067
2559,Samut Prakan ,0.021218958,3.036668718,0.394515449,0.237337979,2.050380094,6,6.460779899,4.309806224
2559,Samut Songkhram ,0.041492485,1.483356327,0.041492485,0.140037136,3.065257305,6.9,15.03583913,6.695849714
2559,Samut Sakhon ,0.055063674,2.037355956,0.440509396,0.594307935,4.046230702,19.2,6.412069957,5.582317345
2559,Sa Kaeo ,0.079271709,1.644887966,2.71505604,3.277164523,3.588846471,95.9,12.48889746,7.683950902
2559,Saraburi ,0.05056906,3.018340766,0.572062491,0.556259659,3.904879598,25.5,9.246236556,5.720624907
2559,Sing Buri ,0.071175053,1.926471426,0.773435572,0.379600281,6.476929793,20.3,17.40941788,10.06889745
2559,Sukhothai ,0.086614409,1.390827534,0.471382266,0.32980102,6.231240485,56.1,9.207777974,4.925361698
2559,Suphan Buri ,0.077909936,1.365784789,0.640986293,0.362399248,3.461089889,109.5,6.870239821,4.719453403
2559,Surat Thani ,0.061290764,1.698903374,2.303192004,0.769007559,3.723413934,14.2,7.635488502,7.840429495
2559,Surin ,0.065267457,1.03423816,0.55441477,0.608923854,3.329357517,104,5.324676908,4.953154462
2559,Nong Khai ,0.046525604,1.769911504,0.385774797,0.275276488,4.115577354,16.9,10.62528473,7.120355921
2559,Nong Bua Lamphu ,0.052939827,1.437218267,0.488222849,0.649003065,5.499859807,47.8,10.325227,6.778258593
2559,Ang Thong ,0.063728545,1.674644536,0.226590381,0.130997564,10.04078627,37.7,15.18863649,10.20010763
2559,Amnat Charoen ,0.029256331,1.234085221,0.449483626,0.390970964,3.361818361,66.6,14.57231234,6.250216098
2559,Udon Thani ,0.057892386,1.74313339,1.042062954,0.676259414,3.988212856,152.4,5.576118309,8.075033622
2559,Uttaradit ,0.065505616,1.63545688,0.628853914,0.790434433,6.01341555,53.3,11.02459518,5.814715182
2559,Uthai Thani ,0.090868338,1.52961702,0.145389341,0.360444407,7.475435259,17.8,18.60074876,8.726389377
2559,Ubon Ratchathani ,0.059911978,1.39416792,1.920961528,2.228617631,3.152125688,234.6,9.487682421,14.58289929
