 Province ,Year,Suicide,Addiction,Alcoholism,Schizophrenia,Depression,Anxietie
Nakhon Si Thammarat ,2558,8.714383186,25.62674167,10.0699539,526.7360504,421.3888403,852.1375736
Nakhon Si Thammarat ,2559,7.736205701,22.43499653,12.4423975,526.1909244,554.6859487,873.5465604
Nakhon Si Thammarat ,2560,6.952656913,105.7061357,359.7999952,732.5396575,422.1807781,772.9036935
Nan ,2558,13.1798336,160.6684477,170.501022,710.0373847,484.0973801,990.579557
Nan ,2559,10.25237583,213.416803,204.8382845,1017.286761,487.0924681,991.3419732
Nan ,2560,12.13153089,532.5323734,621.2180475,654.0568467,647.5727526,961.9467342
Narathiwat ,2558,0.770892141,109.0812379,7.580439383,642.1531531,365.4028747,461.1219821
Narathiwat ,2559,1.401004393,181.6211149,15.28368428,496.8471033,366.0442386,460.293625
Narathiwat ,2560,1.263052064,5.810039496,695.1838562,298.8381184,124.5369335,118.3479784
Nong Bua Lamphu ,2558,6.086988963,7.657824824,8.443242755,535.0659653,541.1529543,671.1396218
Nong Bua Lamphu ,2559,5.293982702,48.82228492,64.90030646,1032.5227,549.9859807,677.8258593
Nong Bua Lamphu ,2560,4.894657188,299.7488062,168.7677798,666.8480953,514.3305773,520.0083797
Nong Khai ,2558,4.841452126,7.746323401,8.520955741,545.7284836,394.6751773,699.6866612
Nong Khai ,2559,4.652560362,38.57747967,27.52764881,1062.528473,411.5577354,712.0355921
Nong Khai ,2560,3.870373452,190.8094112,197.0020087,773.4941344,450.3179512,510.3087397
Nonthaburi ,2558,3.304586257,29.14814545,26.690889,446.0344118,273.8569945,424.1733027
Nonthaburi ,2559,3.597670048,58.06472125,48.27571205,741.2036967,348.6393277,456.7367627
Nonthaburi ,2560,3.134410966,144.4303579,229.1419385,661.5256828,521.9619103,470.6565519
Pathum Thani ,2558,2.867646107,48.10245082,20.81356045,537.9149068,455.4932074,325.339076
Pathum Thani ,2559,2.73710141,54.37708134,31.29419278,751.6080471,475.2520414,335.2949227
Pathum Thani ,2560,0.71038166,133.551752,218.5133985,834.1301448,840.665656,463.5950711
Pattani ,2558,1.160405794,196.2536299,7.397586936,1098.179033,360.0158976,926.0038235
Pattani ,2559,0.861984749,207.0200038,25.57221421,752.6563497,361.0279455,921.174368
Pattani ,2560,5.767333412,46.96257207,618.5465084,928.9526317,326.0603139,853.7713211
Phang Nga ,2558,8.420504694,75.40179204,57.02978179,801.4789468,441.310996,619.6725955
Phang Nga ,2559,4.585946367,144.0751484,86.75081878,852.6038621,450.9513928,629.4211389
Phang Nga ,2560,4.56412597,227.065267,644.6827932,859.1967138,522.2120797,667.5034231
Phatthalung ,2558,6.904223083,85.34386867,88.02884431,808.1776687,502.2822293,986.536765
Phatthalung ,2559,8.223180956,138.8378924,93.70601554,857.1231871,515.9567958,1005.522918
Phatthalung ,2560,8.2066237,132.8327929,330.1734651,619.8863669,442.5851246,832.4951762
Phayao ,2558,9.532216821,53.04885883,97.60161136,725.0701447,609.4402102,768.7940088
Phayao ,2559,9.18804802,54.91946885,99.81561258,836.7388276,626.040181,778.4782504
Phayao ,2560,10.7144883,479.6309174,708.8369318,769.5523655,684.0465471,704.4250837
Phetchabun ,2558,9.644528789,49.42821005,72.63535745,733.4865072,351.3220539,586.3069793
Phetchabun ,2559,9.757157428,49.4899119,89.52443414,587.0388737,364.1330917,599.914298
Phetchabun ,2560,6.64390291,362.5960346,340.9530175,741.0971701,507.2519207,507.7552467
Phetchaburi ,2558,6.530770462,47.40075336,26.12308185,685.3095585,383.6300972,404.6970987
Phetchaburi ,2559,5.881488016,56.92440187,28.14712122,1313.252253,383.7670931,405.4025668
Phetchaburi ,2560,4.605487648,75.78120584,261.2567538,571.9178297,396.4906184,340.8060859
Phichit ,2558,3.842733391,11.16222556,25.61822261,645.2132351,446.123048,620.8759236
Phichit ,2559,3.67523425,61.92769712,82.50900892,1053.322136,447.6435317,623.1359671
Phichit ,2560,6.271789858,214.3476416,162.1442143,869.1962886,509.4906938,559.849477
Phitsanulok ,2558,9.296282997,10.2259113,10.10970776,470.8567338,437.7387256,506.7636269
Phitsanulok ,2559,6.255075009,18.76522503,22.70360559,743.7747524,440.7511187,507.1244146
Phitsanulok ,2560,6.017069965,491.8954696,500.8053617,657.1334679,550.4461889,526.6093348
Phra Nakhon Si Ayutthaya ,2558,3.3535207,34.90145617,17.01601244,407.8874807,397.2058962,603.7579305
Phra Nakhon Si Ayutthaya ,2559,4.705264696,52.87231645,22.9072097,685.235127,403.7860046,603.3882859
Phra Nakhon Si Ayutthaya ,2560,5.55396479,142.9220273,618.0945704,536.7598416,474.6788574,515.531354
Phrae ,2558,11.03855104,12.36317716,20.75247595,769.1662362,368.6876046,943.7961135
Phrae ,2559,10.87523443,11.98495223,14.42633138,986.3171795,377.9698823,950.3623229
Phrae ,2560,11.82613352,510.3088183,679.2217065,840.1017494,478.6237058,900.5712246
Phuket ,2558,6.343282596,23.25870285,26.16604071,342.5372602,168.3612922,444.0297817
Phuket ,2559,5.241859392,70.7651018,47.17673453,588.3987168,170.6225232,443.1992116
Phuket ,2560,2.57571972,108.1802283,285.904889,410.0545795,197.3001306,384.8125262
Prachinburi ,2558,8.117305471,2.497632453,2.497632453,817.7664922,386.508622,922.0426471
Prachinburi ,2559,6.833896957,25.26470996,54.46408787,859.6214021,399.0581647,926.5107572
Prachinburi ,2560,7.542274448,208.1667748,352.4127736,876.0351772,426.1385063,704.0713197
Prachuap Khiri Khan ,2558,6.290267241,3.621669018,1.715527429,503.2213793,314.1321337,374.5568221
Prachuap Khiri Khan ,2559,7.600704585,148.5937746,81.51755668,985.0513143,320.9397511,380.7952997
Prachuap Khiri Khan ,2560,3.235917243,119.6390514,398.4672539,354.8722577,173.5710055,204.4021059
Ranong ,2558,4.552723382,68.29085073,49.51086678,802.9865865,589.577678,1110.295415
Ranong ,2559,5.710337424,128.482592,70.23715031,1376.191319,627.5660829,1155.772295
Ranong ,2560,4.538286116,162.8110144,301.228741,936.0215115,695.4923473,980.2698011
Ratchaburi ,2558,8.365016324,38.29056768,35.22732226,545.1398666,171.4239261,449.1189046
Ratchaburi ,2559,4.969796652,43.07157099,34.90690506,545.9676608,175.5994817,454.8547222
Ratchaburi ,2560,4.135507586,116.7394713,200.6311966,559.1206257,193.4235977,431.746992
Rayong ,2558,8.536982059,31.49852001,24.28624206,397.4112338,233.8838705,821.0221711
Rayong ,2559,7.539805096,66.8432721,41.03393927,661.6178972,233.153973,809.8040666
Rayong ,2560,5.856565567,108.9892568,117.2741544,405.2457686,217.6928274,772.7809687
Roi Et ,2558,4.817154576,63.99933936,72.02793032,1206.582527,355.6283481,931.9282535
Roi Et ,2559,4.666469808,130.9671526,99.60235557,958.8447963,359.2416757,935.8949448
Roi Et ,2560,4.284644218,1425.103271,1758.922963,1201.077588,353.5596595,656.1626573
Sa Kaeo ,2558,9.762694214,3.073440771,2.892650138,422.5077107,175.0053333,632.4056363
Sa Kaeo ,2559,7.927170919,271.505604,327.7164523,1248.889746,358.8846471,768.3950902
Sa Kaeo ,2560,7.355922594,327.0694363,378.202069,875.3547887,351.6489826,626.5093097
Sakon Nakhon ,2558,6.314282908,38.76268118,64.37060631,855.7607308,512.7723911,770.4302131
Sakon Nakhon ,2559,6.121481678,56.2301817,82.55255292,731.3421611,531.0822605,778.47757
Sakon Nakhon ,2560,5.40620196,2064.558771,2366.7829,855.836649,399.0997802,575.4117215
Samut Prakan ,2558,2.610957794,8.861432514,6.566954452,357.7012178,166.0727397,383.6525559
Samut Prakan ,2559,2.121895843,39.45154494,23.73379795,646.0779899,205.0380094,430.9806224
Samut Prakan ,2560,2.565797147,83.81604012,244.7614975,476.3052521,210.2398632,394.3552463
Samut Sakhon ,2558,4.926799134,25.2024725,22.36008838,431.2844165,382.2059175,546.8747039
Samut Sakhon ,2559,5.506367449,44.0509396,59.43079351,641.2069957,404.6230702,558.2317345
Samut Sakhon ,2560,3.938299967,167.6590557,192.226546,563.5519715,460.9686343,535.6087955
Samut Songkhram ,2558,6.197898912,8.780356792,7.230882064,567.1077505,295.4331815,664.2081668
Samut Songkhram ,2559,4.149248467,4.149248467,14.00371358,1503.583913,306.5257305,669.5849714
Samut Songkhram ,2560,5.716572343,68.07917972,120.0480192,630.9017113,319.0886744,561.2634664
Saraburi ,2558,4.900736375,39.205891,47.26839278,629.6655801,388.7390563,571.0148318
Saraburi ,2559,5.056905995,57.20624907,55.62596595,924.6236556,390.4879598,572.0624907
Saraburi ,2560,6.300532237,200.5144385,212.8004763,646.5921209,394.0982915,491.5990278
Satun ,2558,3.183709595,81.50296563,19.10225757,872.018058,275.7092509,641.8358543
Satun ,2559,3.161155719,108.4276411,14.22520073,1475.627489,283.2395524,647.7208067
Satun ,2560,3.457130016,39.28556837,574.8264364,588.6549564,310.8274169,636.111923
Sing Buri ,2558,7.559043214,43.46449848,27.87397185,663.7784822,638.7391516,1001.573226
Sing Buri ,2559,7.117505267,77.34355723,37.96002809,1740.941788,647.6929793,1006.889745
Sing Buri ,2560,6.188619605,235.167545,469.8590423,779.7660702,705.0265873,972.5653732
Sisaket ,2558,7.432683076,14.11527887,42.75497512,758.6791918,342.7898883,1352.407371
Sisaket ,2559,6.19660535,175.6158813,300.2289339,707.5025229,346.5332376,1353.651843
Sisaket ,2560,6.666045409,544.3030139,451.6585869,982.8335727,383.9097989,1227.164543
Songkhla ,2558,4.992304719,90.78862724,47.78348802,684.5162956,308.0965198,692.0047527
Songkhla ,2559,4.693877406,329.7093281,111.7285061,666.5305916,424.3691891,870.5009007
Songkhla ,2560,4.036495585,128.5305173,669.4209258,675.7235241,430.4178977,767.713134
Sukhothai ,2558,9.139385601,7.311508481,9.637897543,518.4524195,620.8135383,491.6989453
Sukhothai ,2559,8.661440931,47.1382266,32.98010201,920.7777974,623.1240485,492.5361698
Sukhothai ,2560,5.174082852,248.0221651,912.307641,640.4179324,594.8526221,435.2905832
Suphan Buri ,2558,9.783109638,62.82406551,40.66473283,530.0559523,341.8194934,468.4105747
Suphan Buri ,2559,7.790993611,64.09862926,36.23992483,687.0239821,346.1089889,471.9453403
Suphan Buri ,2560,6.366903421,158.3472462,446.2727676,557.3398606,389.6780705,473.5089655
Surat Thani ,2558,7.297952348,5.761541328,3.456924797,434.5162418,258.9812827,611.1074835
Surat Thani ,2559,6.129076434,230.3192004,76.90075589,763.5488502,372.3413934,784.0429495
Surat Thani ,2560,5.805411217,197.4556531,640.1003404,639.7419817,299.3728722,567.0668339
Surin ,2558,5.743685177,63.32412908,95.48876607,705.5399279,331.3388387,495.895419
Surin ,2559,6.526745671,55.44147697,60.89238544,532.4676908,332.9357517,495.3154462
Surin ,2560,7.628601534,563.7536534,628.0246213,1080.972837,587.4023181,673.700873
Tak ,2558,10.91150581,165.5538812,81.64816414,731.6352773,483.6807143,501.9292671
Tak ,2559,12.53423175,171.6809924,97.80499014,1005.017491,492.8232028,505.9271723
Tak ,2560,9.957969852,437.9627873,386.6698482,668.6870699,623.5943762,541.3002102
Trang ,2558,7.039818779,1.564404173,1.095082921,479.4898791,568.660917,647.3504469
Trang ,2559,6.873872255,16.71600753,6.092750408,663.7973457,572.8747627,653.0178643
Trang ,2560,6.082800958,129.1425434,429.5393292,708.7242963,522.1850669,585.9764923
Trat ,2558,10.81938834,11.27019619,10.3685805,688.3835834,280.8532891,475.6022793
Trat ,2559,13.24666664,364.5117233,79.02321821,1679.129192,290.0563212,482.3613782
Trat ,2560,11.85844663,175.596229,555.0665213,522.227746,261.3419201,352.5607403
Ubon Ratchathani ,2558,4.926057708,102.8517544,114.7067724,853.5612961,249.1177755,1359.591928
Ubon Ratchathani ,2559,5.991197797,192.0961528,222.8617631,948.7682421,315.2125688,1458.289929
Ubon Ratchathani ,2560,6.133025319,405.4252527,581.8842268,1101.147037,367.9277207,1242.206619
Udon Thani ,2558,5.412799169,32.34943503,36.29759442,633.1701427,391.1861799,801.4126769
Udon Thani ,2559,5.789238632,104.2062954,67.62594139,557.6118309,398.8212856,807.5033622
Udon Thani ,2560,6.09456866,215.2779409,327.1386698,640.0566795,279.397882,718.524251
Uthai Thani ,2558,6.054899776,9.990584631,29.6690089,603.0680177,751.4130622,872.5110578
Uthai Thani ,2559,9.086833784,14.53893405,36.04444068,1860.074876,747.5435259,872.6389377
Uthai Thani ,2560,9.403456832,525.076896,861.4779807,798.6871561,793.5304217,718.9094417
Uttaradit ,2558,7.833204956,15.23123186,42.42986018,650.5911894,595.5411657,579.2219887
Uttaradit ,2559,6.550561601,62.88539137,79.04344332,1102.459518,601.341555,581.4715182
Uttaradit ,2560,7.226857631,363.5328384,505.4420428,761.8859908,726.1896941,485.075444
Yala ,2558,1.749788081,7.582415019,2.333050775,425.9761873,245.1647523,661.0310529
Yala ,2559,2.120036465,14.0693329,4.240072929,791.1590625,245.9242299,657.211304
Yala ,2560,1.146346403,33.43510342,503.0550132,517.5754009,279.1353491,564.193488
Yasothon ,2558,5.554825199,14.25738468,20.18253156,810.4489965,304.5895817,872.6630387
Yasothon ,2559,4.261295211,31.31125612,45.39205769,832.6200296,313.853656,878.7531821
Yasothon ,2560,4.449338717,376.3398998,375.4129542,1036.510532,695.2091745,747.3035153
